,Date,Ticker,NAV,Share out standing,Asset of class,Asset of fund,Distribution yield,YTM
0,demo,demo,demo,demo,demo,demo,demo,demo
749,2021/1/19,LQDA,6.47,"335,873,739","2,173,366,349","9,265,834,523",2.82,2.01%
750,2021/1/19,EMCA,6.07,"90,492,517","549,168,082","1,527,094,627",3.99,3.36%
751,2021/1/19,IUAA,5.86,"371,287,757","2,174,746,732","3,589,462,198",2.06,1.10%
752,2021/1/21,EIMI,38.07,"500,168,468","19,040,008,458","19,677,790,236",1.6,-
753,2021/1/21,IWDA,74.45,"401,015,140","29,854,679,062","30,986,496,415",1.31,-
754,2021/1/21,DPYA,5.27,"24,273,673","128,021,113","2,388,100,242",2.92,-
755,2021/1/21,LQDA,6.48,"335,873,739","2,176,230,432","9,278,043,764",2.81,2.00%
756,2021/1/21,EMCA,6.07,"90,492,517","549,213,795","1,527,220,925",3.99,3.35%
757,2021/1/21,IUAA,5.86,"371,287,757","2,176,517,112","3,592,383,630",2.06,1.09%
758,2021/1/21,EIMI,38.58,"500,180,675","19,295,053,106","19,940,891,443",1.6,-
759,2021/1/21,IWDA,75.24,"402,253,857","30,264,382,307","31,511,614,144",1.31,-
760,2021/1/21,DPYA,5.34,"24,273,673","129,565,431","2,416,907,887",2.92,-
761,2021/1/21,LQDA,6.48,"335,521,165","2,174,164,845","9,232,044,950",2.81,2.00%
762,2021/1/21,EMCA,6.07,"90,579,984","550,220,603","1,528,553,631",3.99,3.35%
763,2021/1/21,IUAA,5.86,"370,733,187","2,173,770,969","3,593,217,683",2.06,1.09%
764,2021-01-23,EIMI,38.36,"499,722,934","19,170,703,316","19,830,527,515",1.57,-
765,2021-01-23,IWDA,75.08,"402,451,026","30,214,938,278","31,520,483,394",1.30,-
766,2021-01-23,DPYA,5.31,"24,273,673","128,848,140","2,215,189,383",2.90,-
767,2021-01-23,LQDA,6.45,"335,375,333","2,164,059,113","8,956,851,012",2.82,2.04%
768,2021-01-23,EMCA,6.08,"94,500,785","574,300,064","1,541,418,103",3.98,3.32%
769,2021-01-23,IUAA,5.86,"372,733,187","2,183,251,401","3,589,521,023",2.06,1.10%
770,2021-01-24,EIMI,38.36,"499,722,934","19,170,703,316","19,830,527,515",1.57,-
771,2021-01-24,IWDA,75.08,"402,451,026","30,214,938,278","31,520,483,394",1.30,-
772,2021-01-25,EIMI,38.36,"499,722,934","19,170,703,316","19,830,527,515",1.57,-
773,2021-01-25,IWDA,75.08,"402,451,026","30,214,938,278","31,520,483,394",1.30,-
774,2021-01-25,DPYA,5.31,"24,273,673","128,848,140","2,215,189,383",2.90,-
775,2021-01-25,LQDA,6.45,"335,375,333","2,164,059,113","8,956,851,012",2.82,2.04%
776,2021-01-25,EMCA,6.08,"94,500,785","574,300,064","1,541,418,103",3.98,3.33%
777,2021-01-25,IUAA,5.86,"372,733,187","2,183,251,401","3,589,521,023",2.06,1.09%
778,2021-01-26,EIMI,38.81,"499,722,934","19,392,384,800","20,059,838,912",1.59,-
779,2021-01-27,EIMI,38.25,"499,722,934","19,116,200,736","19,774,149,045",1.57,-
780,2021-01-27,IWDA,75.04,"404,142,154","30,325,313,579","31,687,730,481",1.30,-
781,2021-01-27,DPYA,5.35,"24,273,673","129,768,115","2,221,022,715",2.90,-
782,2021-01-27,LQDA,6.48,"333,966,948","2,162,699,204","9,030,679,574",2.82,2.01%
783,2021-01-27,EMCA,6.09,"94,097,108","572,948,613","1,544,390,322",3.98,3.30%
784,2021-01-27,IUAA,5.87,"372,863,548","2,188,082,296","3,596,203,333",2.06,1.07%
785,2021-01-28,EIMI,37.80,"499,722,934","18,889,612,436","19,539,761,947",1.59,-
786,2021-01-28,IWDA,73.41,"404,289,631","29,678,246,936","31,032,191,467",1.30,-
787,2021-01-28,DPYA,5.29,"24,273,673","128,511,907","2,199,522,082",2.88,-
788,2021-01-28,LQDA,6.48,"333,211,641","2,158,338,666","8,863,484,619",2.82,2.01%
789,2021-01-28,EMCA,6.09,"94,097,108","572,786,923","1,543,956,548",3.97,3.28%
790,2021-01-28,IUAA,5.87,"372,700,949","2,187,714,108","3,597,169,032",2.06,1.07%
791,2021-01-29,EIMI,37.25,"499,722,934","18,615,769,114","19,256,493,386",1.61,-
792,2021-01-29,IWDA,73.86,"404,060,005","29,841,862,088","31,220,955,846",1.33,-
793,2021-01-29,DPYA,5.31,"24,273,673","128,916,317","2,206,443,563",2.91,-
794,2021-01-29,LQDA,6.46,"333,211,641","2,153,477,095","8,853,920,334",2.81,2.01%
